"Country","city","start","end","year","dengue","T_res","temperature","rainfall","Month"
"VIET NAM","NA","2012-01-01","2012-01-31","2012","1740","Month","19.9376","63.5504","1"
"VIET NAM","NA","2012-02-01","2012-02-29","2012","2596","Month","21.2647","26.6722","2"
"VIET NAM","NA","2012-03-01","2012-03-31","2012","2651","Month","22.66","45.582","3"
"VIET NAM","NA","2012-04-01","2012-04-30","2012","3204","Month","26.1824","59.5025","4"
"VIET NAM","NA","2012-05-01","2012-05-31","2012","5386","Month","27.5174","232.993","5"
"VIET NAM","NA","2012-06-01","2012-06-30","2012","7955","Month","27.4194","234.206","6"
"VIET NAM","NA","2012-07-01","2012-07-31","2012","9944","Month","27.4906","277.347","7"
"VIET NAM","NA","2012-08-01","2012-08-31","2012","10994","Month","27.4666","298.421","8"
"VIET NAM","NA","2012-09-01","2012-09-30","2012","9668","Month","26.4697","212.025","9"
"VIET NAM","NA","2012-10-01","2012-10-31","2012","8508","Month","25.7243","269.287","10"
"VIET NAM","NA","2012-11-01","2012-11-30","2012","11408","Month","24.3128","397.858","11"
"VIET NAM","NA","2012-12-01","2012-12-31","2012","8784","Month","22.4016","54.3562","12"
"VIET NAM","NA","2013-01-01","2013-01-31","2013","5000","Month","20.2787","61.0331","1"
"VIET NAM","NA","2013-02-01","2013-02-28","2013","2541","Month","22.9052","45.2822","2"
"VIET NAM","NA","2013-03-01","2013-03-31","2013","2458","Month","23.9591","58.6912","3"
"VIET NAM","NA","2013-04-01","2013-04-30","2013","2320","Month","25.9443","72.3164","4"
"VIET NAM","NA","2013-05-01","2013-05-31","2013","3535","Month","27.2649","150.656","5"
"VIET NAM","NA","2013-06-01","2013-06-30","2013","5662","Month","27.3868","182.905","6"
"VIET NAM","NA","2013-07-01","2013-07-31","2013","8397","Month","27.2","259.541","7"
"VIET NAM","NA","2013-08-01","2013-08-31","2013","8701","Month","27.3971","274.068","8"
"VIET NAM","NA","2013-09-01","2013-09-30","2013","7928","Month","25.9728","283.283","9"
"VIET NAM","NA","2013-10-01","2013-10-31","2013","7486","Month","24.4809","240.616","10"
"VIET NAM","NA","2013-11-01","2013-11-30","2013","7237","Month","23.375","177.439","11"
"VIET NAM","NA","2013-12-01","2013-12-31","2013","5055","Month","18.6481","282.366","12"
"VIET NAM","NA","2014-01-01","2014-01-31","2014","2274","Month","18.8903","20.1041","1"
"VIET NAM","NA","2014-02-01","2014-02-28","2014","1081","Month","20.5782","14.8243","2"
"VIET NAM","NA","2014-03-01","2014-03-31","2014","897","Month","22.9839","30.491","3"
"VIET NAM","NA","2014-04-01","2014-04-30","2014","1093","Month","26.1655","67.5097","4"
"VIET NAM","NA","2014-05-01","2014-05-31","2014","1288","Month","27.0155","100.506","5"
"VIET NAM","NA","2014-06-01","2014-06-30","2014","1230","Month","27.994","232.4","6"
"VIET NAM","NA","2014-07-01","2014-07-31","2014","1804","Month","27.3625","297.145","7"
"VIET NAM","NA","2014-08-01","2014-08-31","2014","2819","Month","27.2949","226.706","8"
"VIET NAM","NA","2014-09-01","2014-09-30","2014","3140","Month","26.9982","272.555","9"
"VIET NAM","NA","2014-10-01","2014-10-31","2014","4407","Month","25.6917","173.593","10"
"VIET NAM","NA","2014-11-01","2014-11-30","2014","4855","Month","24.0814","166.37","11"
"VIET NAM","NA","2014-12-01","2014-12-31","2014","4293","Month","20.3978","60.7189","12"
"VIET NAM","NA","2015-01-01","2015-01-31","2015","3725","Month","19.9524","39.6747","1"
"VIET NAM","NA","2015-02-01","2015-02-28","2015","1586","Month","21.5853","18.5884","2"
"VIET NAM","NA","2015-03-01","2015-03-31","2015","1907","Month","23.5692","32.7659","3"
"VIET NAM","NA","2015-04-01","2015-04-30","2015","1471","Month","25.8273","48.371","4"
"VIET NAM","NA","2015-05-01","2015-05-31","2015","1855","Month","28.4432","106.235","5"
"VIET NAM","NA","2015-06-01","2015-06-30","2015","2934","Month","28.5632","194.546","6"
"VIET NAM","NA","2015-07-01","2015-07-31","2015","4580","Month","27.455","265.695","7"
"VIET NAM","NA","2015-08-01","2015-08-31","2015","8623","Month","27.5118","279.796","8"
"VIET NAM","NA","2015-09-01","2015-09-30","2015","12856","Month","27.0807","270.979","9"
"VIET NAM","NA","2015-10-01","2015-10-31","2015","18918","Month","25.3536","210.218","10"
"VIET NAM","NA","2015-11-01","2015-11-30","2015","21196","Month","24.7644","177.599","11"
"VIET NAM","NA","2015-12-01","2015-12-31","2015","17100","Month","22.0768","93.3196","12"
