"Country","city","start","end","year","dengue","T_res"
"VIET NAM","NA","2016-01-03","2016-01-09","2016","2105","Week"
"VIET NAM","NA","2016-01-10","2016-01-16","2016","2545","Week"
"VIET NAM","NA","2016-01-17","2016-01-23","2016","2838","Week"
"VIET NAM","NA","2016-01-24","2016-01-30","2016","2740","Week"
"VIET NAM","NA","2016-01-31","2016-02-06","2016","2421","Week"
"VIET NAM","NA","2016-02-07","2016-02-13","2016","1734","Week"
"VIET NAM","NA","2016-02-14","2016-02-20","2016","1445","Week"
"VIET NAM","NA","2016-02-21","2016-02-27","2016","1444","Week"
"VIET NAM","NA","2016-02-28","2016-03-05","2016","1257","Week"
"VIET NAM","NA","2016-03-06","2016-03-12","2016","1018","Week"
"VIET NAM","NA","2016-03-13","2016-03-19","2016","1035","Week"
"VIET NAM","NA","2016-03-20","2016-03-26","2016","1017","Week"
"VIET NAM","NA","2016-03-27","2016-04-02","2016","1085","Week"
"VIET NAM","NA","2016-04-03","2016-04-09","2016","1186","Week"
"VIET NAM","NA","2016-04-10","2016-04-16","2016","1084","Week"
"VIET NAM","NA","2016-04-17","2016-04-23","2016","981","Week"
"VIET NAM","NA","2016-04-24","2016-04-30","2016","981","Week"
"VIET NAM","NA","2016-05-01","2016-05-07","2016","1100","Week"
"VIET NAM","NA","2016-05-08","2016-05-14","2016","1269","Week"
"VIET NAM","NA","2016-05-15","2016-05-21","2016","1201","Week"
"VIET NAM","NA","2016-05-22","2016-05-28","2016","1115","Week"
"VIET NAM","NA","2016-05-29","2016-06-04","2016","1183","Week"
"VIET NAM","NA","2016-06-05","2016-06-11","2016","1318","Week"
"VIET NAM","NA","2016-06-12","2016-06-18","2016","1437","Week"
"VIET NAM","NA","2016-06-19","2016-06-25","2016","1453","Week"
"VIET NAM","NA","2016-06-26","2016-07-02","2016","1708","Week"
"VIET NAM","NA","2016-07-03","2016-07-09","2016","2064","Week"
"VIET NAM","NA","2016-07-10","2016-07-16","2016","2200","Week"
"VIET NAM","NA","2016-07-17","2016-07-23","2016","2352","Week"
"VIET NAM","NA","2016-07-24","2016-07-30","2016","2437","Week"
"VIET NAM","NA","2016-07-31","2016-08-06","2016","2827","Week"
"VIET NAM","NA","2016-08-07","2016-08-13","2016","2861","Week"
"VIET NAM","NA","2016-08-14","2016-08-20","2016","2894","Week"
"VIET NAM","NA","2016-08-21","2016-08-27","2016","2707","Week"
"VIET NAM","NA","2016-08-28","2016-09-03","2016","2893","Week"
"VIET NAM","NA","2016-09-04","2016-09-10","2016","3114","Week"
"VIET NAM","NA","2016-09-11","2016-09-17","2016","3300","Week"
"VIET NAM","NA","2016-09-18","2016-09-24","2016","3623","Week"
"VIET NAM","NA","2016-09-25","2016-10-01","2016","2959","Week"
"VIET NAM","NA","2016-10-02","2016-10-08","2016","3265","Week"
"VIET NAM","NA","2016-10-09","2016-10-15","2016","3196","Week"
"VIET NAM","NA","2016-10-16","2016-10-22","2016","2856","Week"
"VIET NAM","NA","2016-10-23","2016-10-29","2016","2940","Week"
