country,Year,month,start,end,dengue
VIET NAM,1994,2.0,1994-02-01,1994-02-28,1095
VIET NAM,1994,3.0,1994-03-01,1994-03-31,1199
VIET NAM,1994,4.0,1994-04-01,1994-04-30,1719
VIET NAM,1994,5.0,1994-05-01,1994-05-31,2208
VIET NAM,1994,6.0,1994-06-01,1994-06-30,3686
VIET NAM,1994,7.0,1994-07-01,1994-07-31,5160
VIET NAM,1994,8.0,1994-08-01,1994-08-31,4580
VIET NAM,1994,9.0,1994-09-01,1994-09-30,4520
VIET NAM,1994,10.0,1994-10-01,1994-10-31,4428
VIET NAM,1994,11.0,1994-11-01,1994-11-30,2777
VIET NAM,1994,12.0,1994-12-01,1994-12-31,1346
VIET NAM,1995,1.0,1995-01-01,1995-01-31,1559
VIET NAM,1995,2.0,1995-02-01,1995-02-28,1128
VIET NAM,1995,3.0,1995-03-01,1995-03-31,1464
VIET NAM,1995,4.0,1995-04-01,1995-04-30,1607
VIET NAM,1995,5.0,1995-05-01,1995-05-31,2766
VIET NAM,1995,6.0,1995-06-01,1995-06-30,4648
VIET NAM,1995,7.0,1995-07-01,1995-07-31,6653
VIET NAM,1995,8.0,1995-08-01,1995-08-31,10106
VIET NAM,1995,9.0,1995-09-01,1995-09-30,10406
VIET NAM,1995,10.0,1995-10-01,1995-10-31,9515
VIET NAM,1995,11.0,1995-11-01,1995-11-30,7778
VIET NAM,1995,12.0,1995-12-01,1995-12-31,5735
VIET NAM,1996,1.0,1996-01-01,1996-01-31,2779
VIET NAM,1996,2.0,1996-02-01,1996-02-29,1650
VIET NAM,1996,3.0,1996-03-01,1996-03-31,1746
VIET NAM,1996,4.0,1996-04-01,1996-04-30,2295
VIET NAM,1996,5.0,1996-05-01,1996-05-31,4055
VIET NAM,1996,6.0,1996-06-01,1996-06-30,10137
VIET NAM,1996,7.0,1996-07-01,1996-07-31,9900
VIET NAM,1996,8.0,1996-08-01,1996-08-31,9438
VIET NAM,1996,9.0,1996-09-01,1996-09-30,8321
VIET NAM,1996,10.0,1996-10-01,1996-10-31,9451
VIET NAM,1996,11.0,1996-11-01,1996-11-30,6614
VIET NAM,1996,12.0,1996-12-01,1996-12-31,4610
VIET NAM,1997,1.0,1997-01-01,1997-01-31,3873
VIET NAM,1997,2.0,1997-02-01,1997-02-28,2151
VIET NAM,1997,3.0,1997-03-01,1997-03-31,1817
VIET NAM,1997,4.0,1997-04-01,1997-04-30,2345
VIET NAM,1997,5.0,1997-05-01,1997-05-31,2788
VIET NAM,1997,6.0,1997-06-01,1997-06-30,4989
VIET NAM,1997,7.0,1997-07-01,1997-07-31,8978
VIET NAM,1997,8.0,1997-08-01,1997-08-31,11399
VIET NAM,1997,9.0,1997-09-01,1997-09-30,14176
VIET NAM,1997,10.0,1997-10-01,1997-10-31,13989
VIET NAM,1997,11.0,1997-11-01,1997-11-30,11515
VIET NAM,1997,12.0,1997-12-01,1997-12-31,10583
VIET NAM,1998,1.0,1998-01-01,1998-01-31,7224
VIET NAM,1998,2.0,1998-02-01,1998-02-28,4441
VIET NAM,1998,3.0,1998-03-01,1998-03-31,4071
VIET NAM,1998,4.0,1998-04-01,1998-04-30,6156
VIET NAM,1998,5.0,1998-05-01,1998-05-31,7913
VIET NAM,1998,6.0,1998-06-01,1998-06-30,12082
VIET NAM,1998,7.0,1998-07-01,1998-07-31,24087
VIET NAM,1998,8.0,1998-08-01,1998-08-31,29315
VIET NAM,1998,9.0,1998-09-01,1998-09-30,21713
VIET NAM,1998,10.0,1998-10-01,1998-10-31,14931
VIET NAM,1998,11.0,1998-11-01,1998-11-30,10827
