"country","city","start","end","Year","dengue","T_res"
"VIET NAM","NA","1990-01-01","1990-12-31","1990","37569","Year"
"VIET NAM","NA","1991-01-01","1991-12-31","1991","94630","Year"
"VIET NAM","NA","1992-01-01","1992-12-31","1992","48333","Year"
"VIET NAM","NA","1993-01-01","1993-12-31","1993","53674","Year"
"VIET NAM","NA","1994-01-01","1994-12-31","1994","44944","Year"
"VIET NAM","DAK LAK","1994-02-01","1994-02-28","1994","3","Month"
"VIET NAM","DONG NAI","1994-02-01","1994-02-28","1994","37","Month"
"VIET NAM","LONG AN","1994-02-01","1994-02-28","1994","12","Month"
"VIET NAM","CAN THO CITY","1994-02-01","1994-02-28","1994","11","Month"
"VIET NAM","DONG THAP","1994-02-01","1994-02-28","1994","16","Month"
"VIET NAM","HA NOI CITY","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","AN GIANG","1994-02-01","1994-02-28","1994","9","Month"
"VIET NAM","LAM DONG","1994-02-01","1994-02-28","1994","1","Month"
"VIET NAM","LANG SON","1994-02-01","1994-02-28","1994","1","Month"
"VIET NAM","NGHE AN","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","KON TUM","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","TAY NINH","1994-02-01","1994-02-28","1994","17","Month"
"VIET NAM","HA GIANG","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","BEN TRE","1994-02-01","1994-02-28","1994","66","Month"
"VIET NAM","VINH LONG","1994-02-01","1994-02-28","1994","101","Month"
"VIET NAM","VINH PHUC","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","CA MAU","1994-02-01","1994-02-28","1994","408","Month"
"VIET NAM","YEN BAI","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","CAO BANG","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","NAM DINH","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","QUANG TRI","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","LAI CHAU","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","THAI NGUYEN","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","BINH DUONG","1994-02-01","1994-02-28","1994","27","Month"
"VIET NAM","BINH THUAN","1994-02-01","1994-02-28","1994","139","Month"
"VIET NAM","QUANG BINH","1994-02-01","1994-02-28","1994","0","Month"
"VIET NAM","KHANH HOA","1994-02-01","1994-02-28","1994","83","Month"
"VIET NAM","QUANG NGAI","1994-02-01","1994-02-28","1994","10","Month"
"VIET NAM","SOC TRANG","1994-02-01","1994-02-28","1994","44","Month"
"VIET NAM","SON LA","1994-02-01","1994-02-28","1994","0","Month"
